street,zip_code,brand,LAT,LON
"2073 Broadway, 10023",10023,Trader Joe's & Aldi,40.778582,-73.982257
"675 6th Ave, 10010",10010,Trader Joe's & Aldi,40.7418779,-73.9938343
"436 East 14th St, 10009",10009,Trader Joe's & Aldi,40.7305095,-73.9810994
400 Grand St. (Cellar),10002,Trader Joe's & Aldi,40.7161587,-73.9867257
200 E 32nd St,10016,Trader Joe's & Aldi,40.7440283,-73.9790589
233 Spring Street,10013,Trader Joe's & Aldi,40.7257088,-74.0048369
142 E 14th St,10003,Trader Joe's & Aldi,40.7334209,-73.987875
405 E. 59th Street,10022,Trader Joe's & Aldi,40.7596586,-73.9613341
670 Columbus Ave,10025,Trader Joe's & Aldi,40.7908664,-73.9692378
69-65 Yellowstone Blvd,11375,Trader Joe's & Aldi,40.7203709,-73.8556407
22-43 Jackson Ave,11101,Trader Joe's & Aldi,40.7458731,-73.9459681
9030 Metropolitan Ave,11374,Trader Joe's & Aldi,40.7111513,-73.8581219
130 Court St,11201,Trader Joe's & Aldi,40.6895207,-73.9928556
445 Gold St,11201,Trader Joe's & Aldi,40.6914157,-73.982755
200 Kent Ave,11249,Trader Joe's & Aldi,40.7180715,-73.9644379
2385 Richmond Ave,10314,Trader Joe's & Aldi,40.5899749,-74.1658103
"1628 Flatbush Ave, Brooklyn, New York",11210,Trader Joe's & Aldi,40.6307034,-73.9457517
"3785 Nostrand Avenue, Brooklyn, New York",11235,Trader Joe's & Aldi,40.5910635,-73.9398458
"528 Gateway Drive, Brooklyn, New York",11239,Trader Joe's & Aldi,40.6537814,-73.8710261
"517 East 117th Street, New York, New York",10035,Trader Joe's & Aldi,40.795636,-73.9308816
"1750 E Gun Hill Rd, Suite B, Bronx, New York",10469,Trader Joe's & Aldi,40.8633708,-73.8350521
"3006 3rd Avenue, Bronx, New York",10455,Trader Joe's & Aldi,40.8195859,-73.9130582
"5532 Broadway, Bronx, New York",10463,Trader Joe's & Aldi,40.8776918,-73.9048145
"845 White Plains Rd, Bronx, New York",10473,Trader Joe's & Aldi,40.8229284,-73.8586742
"92-29 168th Street, Jamaica, New York",11433,Trader Joe's & Aldi,40.7051956,-73.7915034
"763 Glen St, Queensbury, New York",12804,Trader Joe's & Aldi,40.6808818,-73.871444
"61-11 Junction Boulevard, Rego Park, New York",11374,Trader Joe's & Aldi,40.7334615,-73.8624435
"100 W 125th St, New York, NY 10027",10027,Whole Foods Market,40.8077449,-73.9459069
"808 Columbus Ave, New York, NY 10025",10025,Whole Foods Market,40.7954032,-73.9659344
"1551 3rd Ave, New York, NY 10128",10128,Whole Foods Market,40.7796967,-73.9529487
"10 Columbus Cir, Ste Sc101, New York, NY 10019",10019,Whole Foods Market,40.7685685,-73.9824278
"226 E 57th St, New York, NY 10022",10022,Whole Foods Market,40.7594206,-73.9660348
"1095 6th Ave, New York, NY 10036",10036,Whole Foods Market,40.7546492,-73.9848112
"450 W 33rd St, New York, NY 10001",10001,Whole Foods Market,40.7530239,-73.9995138
"63 Madison Ave, New York, NY 10016",10016,Whole Foods Market,40.7437476,-73.985621
"250 7th Ave, New York, NY 10001",10001,Whole Foods Market,40.7450411,-73.9952796
"4 Union Square S, New York, NY 10003",10003,Whole Foods Market,40.7366141,-73.9891726
"95 East Houston St, New York, NY 10002",10002,Whole Foods Market,40.7238482,-73.9923711
"238 Bedford Ave, Brooklyn, NY 11249",11249,Whole Foods Market,40.7161301,-73.959759
"270 Greenwich St, New York, NY 10007",10007,Whole Foods Market,40.7156112,-74.0117376
"66 Broadway, New York, NY 10005",10005,Whole Foods Market,40.7070866,-74.0119141
"292 Ashland Pl, Brooklyn, NY 11217",11217,Whole Foods Market,40.6860974,-73.9785902
"214 3rd St, Brooklyn, NY 11215",11215,Whole Foods Market,40.6747032,-73.9890479
"40 W 225th St, Bronx, NY",10463,Target,40.8731456,-73.908416
"700 Exterior St, Bronx, NY",10451,Target,40.8194629,-73.9303515
"815 E Hutchinson River Pkwy, Bronx, NY",10465,Target,40.8390455,-73.838546
"215 E Fordham Rd, Bronx, NY",10458,Target,40.8624595,-73.8961209
"519 Gateway Dr, Brooklyn, NY",11239,Target,40.6528998,-73.8701886
"139 Flatbush Ave, Brooklyn, NY",11217,Target,40.6844949,-73.9777657
"1598 Flatbush Ave, Brooklyn, NY",11210,Target,40.6311211,-73.9457192
"1715 E. 13th St, Brooklyn, NY",11229,Target,40.6077061,-73.9591693
"6401 18th Ave, Brooklyn, NY",11204,Target,40.61949,-73.9895951
"5200 Kings Hwy, Ste A, Brooklyn, NY",11234,Target,40.6363057,-73.9269957
"8973-95 Bay Pkwy, Brooklyn, NY",11214,Target,40.5938723,-74.0010998
"2101 Church Ave, Brooklyn, NY",11226,Target,40.6503932,-73.9598138
"5100 Kings Plaza, Ste 2201, Brooklyn, NY",11234,Target,40.6749223,-73.9708155
"4024 College Point Blvd, Flushing, NY",11354,Target,40.7859133,-73.8457559
"445 Albee Square West, BROOKLYN, NY",11201,Target,40.6912513,-73.9831859
"7000 AUSTIN ST, FOREST HILLS, NY",11375,Target,40.7209514,-73.8472921
"255 Greenwich St, New York, NY",10007,Target,40.7145279,-74.0112651
"500 E 14th St, New York, NY",10009,Target,40.7301488,-73.980262
"615 10th Ave, New York, NY",10036,Target,40.7613975,-73.9946585
"112 W 34th St, New York, NY",10120,Target,40.7502476,-73.9893078
"400 Grand St, New York, NY",10002,Target,40.7161587,-73.9867257
"1201 3rd Ave, New York, NY",10021,Target,40.7681631,-73.9614552
"512 2nd Ave, New York, NY",10016,Target,40.6599788,-74.0055026
"602 W 181st St, New York, NY",10033,Target,40.8493153,-73.9341175
"1863 Broadway, New York, NY",10023,Target,40.7700969,-73.9824801
"10 Union Square East, New York, NY",10003,Target,40.734864,-73.9897882
"237 W 42nd St, New York, NY",10036,Target,40.7567805,-73.9883068
"150 E 86th St, New York, NY",10028,Target,40.7791885,-73.9553419
"2900 Veterans Rd W, Staten Island, NY",10309,Target,40.5287192,-74.2326211
"2873 Richmond Ave, Staten Island, NY",10314,Target,40.5750424,-74.1671599
"1520 Forest Ave, Staten Island, NY",10302,Target,40.6240025,-74.1392002
"795 Columbus Ave, New York City, NY",10025,Target,40.7945193,-73.9660636
"600 Broadway, New York City, NY",10012,Target,40.7252194,-73.9967722
"160-08 Jamaica Ave, Jamaica, NY",11432,Target,40.7037734,-73.798715
"13505 20th Ave, College Point, NY",11356,Target,40.6142934,-73.9881793
"8801 Queens Blvd, Elmhurst, NY",11373,Target,40.7143033,-73.8314092
"40-25 82nd St, Elmhurst, NY",11373,Target,40.7469451,-73.8836566
"25-01 Jackson Ave, Long Island City, NY",11101,Target,40.7469945,-73.9438654
"961 East 174th Street, Bronx, NY",10460,Stop&Shop,40.8380017,-73.8843576
"5716 Broadway, Bronx, NY",10463,Stop&Shop,40.8820358,-73.902095
"74-17 Grand Avenue, Maspeth, NY",11378,Stop&Shop,40.7312318,-73.8877236
"3106 Farrington Street, Flushing, NY",11354,Stop&Shop,40.768723,-73.8348092
"2136 Bartow Ave, Bronx, NY",10475,Stop&Shop,40.8686669,-73.8259792
