NTAName,StoreCount
University Heights (North)-Fordham,9
Forest Hills,8
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,8
Flatbush,7
Claremont Village-Claremont (East),7
Long Island City-Hunters Point,7
Chelsea-Hudson Yards,7
Harlem (North),6
South Ozone Park,6
Upper East Side-Carnegie Hill,6
Jamaica,6
Bay Ridge,6
Upper West Side-Lincoln Square,6
Crown Heights (North),6
Bushwick (East),6
Ridgewood,5
New Springville-Willowbrook-Bulls Head-Travis,5
East Village,5
Concourse-Concourse Village,5
Morningside Heights,5
Upper East Side-Yorkville,5
Woodside,5
Gramercy,5
Co-op City,5
Upper East Side-Lenox Hill-Roosevelt Island,5
Kingsbridge-Marble Hill,5
Melrose,5
Upper West Side (Central),5
Downtown Brooklyn-DUMBO-Boerum Hill,5
Elmhurst,4
Canarsie,4
Jackson Heights,4
Park Slope,4
Flatlands,4
Bedford-Stuyvesant (West),4
Bensonhurst,4
Wakefield-Woodlawn,4
East Williamsburg,4
Clinton Hill,4
Astoria (East)-Woodside (North),4
Lower East Side,4
Murray Hill-Kips Bay,4
Midtown-Times Square,4
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,4
Bedford-Stuyvesant (East),4
Richmond Hill,3
Murray Hill-Broadway Flushing,3
Cambria Heights,3
Sunnyside Yards (North),3
Morrisania,3
Corona,3
Pelham Bay-Country Club-City Island,3
West Farms,3
Inwood,3
Riverdale-Spuyten Duyvil,3
Soundview-Bruckner-Bronx River,3
University Heights (South)-Morris Heights,3
Bedford Park,3
Sunnyside,3
Mount Eden-Claremont (West),3
Washington Heights (South),3
Dyker Heights,3
Parkchester,3
Marine Park-Mill Basin-Bergen Beach,3
West Village,3
Ozone Park,3
Hamilton Heights-Sugar Hill,3
East Flatbush-Remsen Village,3
Bushwick (West),3
Midtown South-Flatiron-Union Square,3
Flushing-Willets Point,3
Soundview-Clason Point,3
Rego Park,3
Upper West Side-Manhattan Valley,3
Auburndale,3
Financial District-Battery Park City,3
Fort Greene,3
Spring Creek-Starrett City,3
Gravesend (West),3
Westerleigh-Castleton Corners,3
Williamsburg,3
East Harlem (North),3
SoHo-Little Italy-Hudson Square,3
Howard Beach-Lindenwood,2
East Midtown-Turtle Bay,2
Jamaica Hills-Briarwood,2
Maspeth,2
Tribeca-Civic Center,2
Brooklyn Heights,2
Astoria (Central),2
St. Albans,2
Baisley Park,2
Queens Village,2
East New York-City Line,2
Bath Beach,2
Harlem (South),2
Highbridge,2
Prospect Heights,2
Cypress Hills,2
Pomonok-Electchester-Hillcrest,2
Pelham Gardens,2
Fordham Heights,2
Throgs Neck-Schuylerville,2
Bayside,2
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,2
Glendale,2
Tottenville-Charleston,2
Kingsbridge Heights-Van Cortlandt Village,2
Castle Hill-Unionport,2
Greenpoint,2
Williamsbridge-Olinville,2
Washington Heights (North),2
Brownsville,2
College Point,2
East Flatbush-Farragut,2
Norwood,2
Pelham Parkway-Van Nest,2
Hollis,1
Grasmere-Arrochar-South Beach-Dongan Hills,1
Brighton Beach,1
South Jamaica,1
Sunset Park (East)-Borough Park (West),1
Mapleton-Midwood (West),1
East Flatbush-Erasmus,1
Fort Hamilton,1
Jamaica Estates-Holliswood,1
East Harlem (South),1
East New York (North),1
Morris Park,1
Douglaston-Little Neck,1
Eastchester-Edenwald-Baychester,1
Sunnyside Yards (South),1
Mariner's Harbor-Arlington-Graniteville,1
Kensington,1
Middle Village,1
Crown Heights (South),1
Greenwich Village,1
Belmont,1
Kew Gardens,1
West New Brighton-Silver Lake-Grymes Hill,1
Springfield Gardens (North)-Rochdale Village,1
Great Kills-Eltingville,1
Oakwood-Richmondtown,1
Rockaway Beach-Arverne-Edgemere,1
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1
Coney Island-Sea Gate,1
Chinatown-Two Bridges,1
Ocean Hill,1
Gravesend (South),1
Westchester Square,1
North Corona,1
Crotona Park East,1
Sunset Park (West),1
Hell's Kitchen,1
Allerton,1
Gravesend (East)-Homecrest,1
Kew Gardens Hills,1
Woodhaven,1
Prospect Lefferts Gardens-Wingate,1
Windsor Terrace-South Slope,1
Ozone Park (North),1
East New York-New Lots,1
South Richmond Hill,1
Oakland Gardens-Hollis Hills,1
Midwood,1
Bellerose,1
New Dorp-Midland Beach,1
